titulo,autor,año,puntuación,categoría,idioma,análisis,tags,referencia
"Powerless","Lauren Roberts","2023","2","Fantasía","es","Fantasía juvenil con romance y violencia moderada.","Fantasía","Discernimiento"
"Reckless","Lauren Roberts","2024","2","Fantasía","es","Continuación con romance intenso y conflictos morales.","Fantasía","Discernimiento"
"Fearless","Lauren Roberts","2025","2","Fantasía","es","Saga con énfasis en emociones y relaciones complejas.","Fantasía","Discernimiento"
"Divine Rivals","Rebecca Ross","2023","4","Fantasía","es","Historia con valores de sacrificio y amor en contexto fantástico.","Fantasía","Compatible"
"Ruthless Vows","Rebecca Ross","2024","4","Fantasía","es","Continuación con enfoque en compromiso y amor fiel.","Fantasía","Compatible"
"Bride","Ali Hazelwood","2024","2","Romance","es","Romance paranormal con elementos sexuales y fantásticos.","Romance","Advertencia CIC 2354"
"Check & Mate","Ali Hazelwood","2023","3","Romance","es","Romance juvenil con enfoque emocional y desarrollo personal.","Romance","Discernimiento"
"Love, Theoretically","Ali Hazelwood","2023","3","Romance","es","Relación romántica moderna con cierta carga sexual.","Romance","Discernimiento"
"Funny Story","Emily Henry","2024","3","Romance","es","Relación contemporánea con conflictos emocionales.","Romance","Discernimiento"
"Just for the Summer","Abby Jimenez","2024","3","Romance","es","Historia romántica con elementos emocionales complejos.","Romance","Discernimiento"
"Yours Truly","Abby Jimenez","2023","4","Romance","es","Relación basada en cuidado y empatía.","Romance","Parcialmente compatible"
"The Paradise Problem","Christina Lauren","2024","2","Romance","es","Romance adulto con situaciones moralmente ambiguas.","Romance","Discernimiento"
"Love Redesigned","Lauren Asher","2023","2","Romance","es","Relación romántica con carga emocional y sexual.","Romance","Advertencia CIC 2354"
"Final Offer","Lauren Asher","2023","2","Romance","es","Relaciones complejas con enfoque en deseo y conflictos.","Romance","Discernimiento"
"King of Pride","Ana Huang","2023","1","Romance","es","Romance altamente erotizado y centrado en deseo.","Romance","Advertencia CIC 2354"
"King of Greed","Ana Huang","2024","1","Romance","es","Relación marcada por ambición, deseo y materialismo.","Romance","Advertencia CIC 2424"
"King of Sloth","Ana Huang","2024","1","Romance","es","Romance con enfoque en placer y estilo de vida superficial.","Romance","Discernimiento"
"Flawless","Elsie Silver","2023","2","Romance","es","Romance adulto con contenido sexual explícito.","Romance","Advertencia CIC 2354"
"Heartless","Elsie Silver","2023","2","Romance","es","Relaciones intensas con erotización.","Romance","Advertencia CIC 2354"
"Hopeless","Elsie Silver","2024","2","Romance","es","Romance emocional con elementos desordenados.","Romance","Discernimiento"
"Magnolia Parks","Jessa Hastings","2023","1","Romance","es","Relaciones tóxicas y superficialidad emocional.","Romance","Advertencia CIC 2354"
"Daisy Haites","Jessa Hastings","2023","1","Romance","es","Ambiente de excesos, relaciones desordenadas.","Romance","Discernimiento"
"Binding 13","Chloe Walsh","2023","2","Juvenil","es","Historia juvenil con romance intenso y conflictos.","Juvenil","Discernimiento"
"Keeping 13","Chloe Walsh","2023","2","Juvenil","es","Continuación con enfoque en relaciones complejas.","Juvenil","Discernimiento"
"Saving 6","Chloe Walsh","2024","2","Juvenil","es","Temas de trauma y redención parcial.","Juvenil","Discernimiento"
"Redeeming 6","Chloe Walsh","2024","2","Juvenil","es","Proceso de cambio personal con elementos positivos.","Juvenil","Parcialmente compatible"
"El Señor de los Anillos","J.R.R. Tolkien","1954","5","Fantasía","es","Obra profundamente inspirada en valores cristianos como el sacrificio, la humildad y el bien.","Fantasía|Virtud","Compatible"
"El Hobbit","J.R.R. Tolkien","1937","5","Fantasía","es","Aventura con valores de valentía, amistad y crecimiento personal.","Fantasía","Compatible"
"Las Crónicas de Narnia","C.S. Lewis","1950","5","Fantasía","es","Alegoría cristiana accesible que transmite valores evangélicos.","Fantasía|Cristianismo","Compatible"
"Mero cristianismo","C.S. Lewis","1952","5","Teología","es","Defensa clara y racional de la fe cristiana.","Apologética","Compatible CIC 31"
"Cartas del diablo a su sobrino","C.S. Lewis","1942","5","Espiritualidad","es","Reflexión brillante sobre la tentación y la vida moral.","Espiritualidad","Compatible"
"Orgullo y prejuicio","Jane Austen","1813","5","Clásico","es","Historia sobre virtud, carácter y amor auténtico.","Virtud","Compatible"
"Jane Eyre","Charlotte Brontë","1847","5","Clásico","es","Fuerte sentido moral, dignidad y fe personal.","Virtud","Compatible"
"Crimen y castigo","Fiódor Dostoyevski","1866","5","Clásico","es","Exploración del pecado, culpa y redención profundamente cristiana.","Redención","Compatible CIC 1847"
"Los hermanos Karamazov","Fiódor Dostoyevski","1880","5","Clásico","es","Reflexión profunda sobre Dios, libertad y moral.","Teología","Compatible"
"Anna Karenina","León Tolstói","1877","4","Clásico","es","Muestra consecuencias del pecado y búsqueda de sentido.","Moral","Compatible"
"Guerra y paz","León Tolstói","1869","5","Clásico","es","Gran obra sobre historia, providencia y sentido de la vida.","Historia","Compatible"
"El conde de Montecristo","Alexandre Dumas","1844","5","Clásico","es","Historia sobre justicia, perdón y redención.","Redención","Compatible"
"Los miserables","Victor Hugo","1862","5","Clásico","es","Profunda reflexión sobre gracia, misericordia y conversión.","Misericordia","Compatible"
"Don Quijote de la Mancha","Miguel de Cervantes","1605","5","Clásico","es","Obra rica en valores humanos, idealismo y dignidad.","Clásico","Compatible"
"El principito","Antoine de Saint-Exupéry","1943","5","Fábula","es","Reflexión sobre amor, responsabilidad y sentido de la vida.","Valores","Compatible"
"La cabaña","William P. Young","2007","4","Ficción espiritual","es","Reflexiona sobre el sufrimiento y Dios, aunque con simplificaciones teológicas.","Espiritualidad","Discernimiento"
"El poder del ahora","Eckhart Tolle","1997","2","Espiritualidad","es","Espiritualidad con elementos no cristianos. Requiere discernimiento.","New Age","Advertencia CIC 2117"
"Hábitos atómicos","James Clear","2018","5","Autoayuda","es","Promueve disciplina y crecimiento personal alineado con la virtud.","Virtud","Compatible CIC 1803"
"Los 7 hábitos de la gente altamente efectiva","Stephen R. Covey","1989","5","Autoayuda","es","Enfoque ético del desarrollo personal y responsabilidad.","Virtud","Compatible"
"El hombre en busca de sentido","Viktor Frankl","1946","5","Testimonio","es","Reflexión sobre sufrimiento y sentido con fuerte compatibilidad cristiana.","Sufrimiento","Compatible"
"Introducción al cristianismo","Joseph Ratzinger","1968","5","Teología","es","Explicación profunda de la fe cristiana.","Teología","Compatible"
"Jesús de Nazaret","Joseph Ratzinger","2007","5","Teología","es","Presentación rigurosa de la figura de Cristo.","Cristología","Compatible"
"Confesiones","San Agustín","397","5","Espiritualidad","es","Clásico de conversión y búsqueda de Dios.","Conversión","Tradición"
"Imitación de Cristo","Tomás de Kempis","1418","5","Espiritualidad","es","Guía espiritual centrada en la vida interior.","Espiritualidad","Tradición"
"Historia de un alma","Santa Teresa de Lisieux","1898","5","Espiritualidad","es","Camino de santidad basado en lo pequeño y cotidiano.","Santidad","Tradición"
"Camino","San Josemaría Escrivá","1939","5","Espiritualidad","es","Reflexiones breves sobre vida cristiana y santidad.","Virtud","Compatible"
"El gran divorcio","C.S. Lewis","1945","5","Ficción teológica","es","Reflexión sobre cielo, infierno y libertad humana.","Teología","Compatible"
"La abolición del hombre","C.S. Lewis","1943","5","Filosofía","es","Defensa de la moral objetiva frente al relativismo.","Moral","Compatible"
"El Señor de los Anillos","J.R.R. Tolkien","1954","5","Fantasía","es","Obra profundamente inspirada en valores cristianos como sacrificio y humildad.","Virtud","Compatible"
"El Hobbit","J.R.R. Tolkien","1937","5","Fantasía","es","Aventura con valores de crecimiento personal y valentía.","Virtud","Compatible"
"Crimen y castigo","Fiódor Dostoyevski","1866","5","Clásico","es","Exploración del pecado, culpa y redención.","Redención","Compatible CIC 1847"
"Los miserables","Victor Hugo","1862","5","Clásico","es","Historia sobre misericordia, justicia y conversión.","Misericordia","Compatible"
"1984","George Orwell","1949","4","Distopía","es","Defensa de la verdad frente al totalitarismo.","Verdad","Compatible"
"Un mundo feliz","Aldous Huxley","1932","2","Distopía","es","Visión sin Dios ni familia. Útil como advertencia.","Distopía","Discernimiento"
"Hábitos atómicos","James Clear","2018","5","Autoayuda","es","Promueve disciplina y virtud.","Virtud","Compatible CIC 1803"
"El hombre en busca de sentido","Viktor Frankl","1946","5","Testimonio","es","Reflexión sobre sufrimiento y sentido.","Sufrimiento","Compatible"
"It Ends With Us","Colleen Hoover","2016","2","Romance","es","Relación marcada por abuso emocional.","Romance","Discernimiento CIC 2337"
"Verity","Colleen Hoover","2018","1","Thriller","es","Contenido oscuro con sexualidad explícita.","Thriller","Advertencia CIC 2354"
"Fourth Wing","Rebecca Yarros","2023","2","Fantasía","es","Fantasía romántica con erotización.","Romantasy","Advertencia CIC 2354"
"The Housemaid","Freida McFadden","2022","2","Thriller","es","Thriller psicológico con ambigüedad moral.","Thriller","Discernimiento"
"La biblioteca de la medianoche","Matt Haig","2020","3","Ficción","es","Explora el sentido de la vida sin referencia a Dios.","Filosofía","Discernimiento"
"El alquimista","Paulo Coelho","1988","2","Espiritualidad","es","Espiritualidad difusa con elementos New Age.","New Age","Advertencia CIC 2117"
"Mero cristianismo","C.S. Lewis","1952","5","Teología","es","Defensa racional de la fe cristiana.","Apologética","Compatible"
"Confesiones","San Agustín","397","5","Espiritualidad","es","Relato de conversión y búsqueda de Dios.","Conversión","Tradición"
"Don Quijote de la Mancha","Miguel de Cervantes","1605","5","Clásico","es","Obra fundamental sobre idealismo, dignidad y sentido de la vida.","Clásico","Compatible"
"La Celestina","Fernando de Rojas","1499","2","Clásico","es","Refleja pasiones desordenadas y consecuencias del pecado.","Moral","Discernimiento"
"Lazarillo de Tormes","Anónimo","1554","3","Clásico","es","Crítica social con ambigüedad moral.","Sociedad","Discernimiento"
"Fuenteovejuna","Lope de Vega","1619","4","Clásico","es","Reflexión sobre justicia y comunidad.","Justicia","Compatible"
"Hamlet","William Shakespeare","1603","4","Clásico","es","Explora la duda moral, la venganza y la conciencia.","Moral","Discernimiento"
"Macbeth","William Shakespeare","1606","3","Clásico","es","Ambición desordenada y consecuencias del mal.","Pecado","Discernimiento"
"Romeo y Julieta","William Shakespeare","1597","3","Clásico","es","Amor apasionado sin prudencia con consecuencias trágicas.","Amor","Discernimiento"
"La divina comedia","Dante Alighieri","1320","5","Clásico","es","Visión profundamente cristiana del cielo, purgatorio e infierno.","Teología","Compatible"
"Fausto","Johann Wolfgang von Goethe","1808","2","Clásico","es","Pacto con el diablo y búsqueda desordenada del conocimiento.","Tentación","Advertencia CIC 2117"
"Los miserables","Victor Hugo","1862","5","Clásico","es","Historia sobre gracia, misericordia y redención.","Misericordia","Compatible"
"El conde de Montecristo","Alexandre Dumas","1844","5","Clásico","es","Justicia, venganza y perdón.","Redención","Compatible"
"Madame Bovary","Gustave Flaubert","1857","2","Clásico","es","Consecuencias del adulterio y la insatisfacción.","Moral","Discernimiento CIC 2380"
"Crimen y castigo","Fiódor Dostoyevski","1866","5","Clásico","es","Exploración del pecado, culpa y redención.","Redención","Compatible CIC 1847"
"Los hermanos Karamazov","Fiódor Dostoyevski","1880","5","Clásico","es","Reflexión profunda sobre Dios, libertad y moral.","Teología","Compatible"
"El idiota","Fiódor Dostoyevski","1869","5","Clásico","es","Retrato de la bondad en un mundo corrupto.","Virtud","Compatible"
"Anna Karenina","León Tolstói","1877","3","Clásico","es","Relaciones desordenadas y consecuencias morales.","Moral","Discernimiento"
"Guerra y paz","León Tolstói","1869","5","Clásico","es","Reflexión sobre historia, providencia y sentido de la vida.","Historia","Compatible"
"Drácula","Bram Stoker","1897","3","Clásico","es","Lucha simbólica entre el bien y el mal.","Bien y mal","Discernimiento"
"Frankenstein","Mary Shelley","1818","3","Clásico","es","Reflexión sobre los límites de la ciencia.","Ciencia","Discernimiento"
"Moby Dick","Herman Melville","1851","4","Clásico","es","Obsesión humana frente a lo trascendente.","Existencial","Discernimiento"
"Orgullo y prejuicio","Jane Austen","1813","5","Clásico","es","Virtud, carácter y amor auténtico.","Virtud","Compatible"
"Sentido y sensibilidad","Jane Austen","1811","5","Clásico","es","Equilibrio entre razón y emoción.","Virtud","Compatible"
"Jane Eyre","Charlotte Brontë","1847","5","Clásico","es","Dignidad, fe y moral personal.","Virtud","Compatible"
"Cumbres borrascosas","Emily Brontë","1847","2","Clásico","es","Pasiones intensas y destructivas.","Pasión","Discernimiento"
"El retrato de Dorian Gray","Oscar Wilde","1890","2","Clásico","es","Hedonismo y corrupción moral.","Pecado","Discernimiento"
